url,name,street_address,city,state,zip,id,grades,type,students,rating,probation_status,asian,black,hispanic,white,other,low_income,diverse_learners,limited_english,mobility_rate,chronic_truancy
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=400010,ACE TECH HS,5410 S STATE St,Chicago,IL,60609,400010,"9, 10, 11, 12",Charter,375,Level 2,Not Applicable,0,0.82,0.16,0.02,0.01,0.98,0.18,0.06,0.27,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609772,ADDAMS,10810 S AVENUE H,Chicago,IL,60617-672,609772,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,772,Level 1+,Good Standing,0,0.02,0.97,0.02,0,0.88,0.09,0.29,0.13,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609773,AGASSIZ,2851 N SEMINARY Ave,Chicago,IL,60657,609773,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,497,Level 1,Good Standing,0.04,0.25,0.3,0.36,0.05,0.37,0.19,0.06,0.07,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=400060,AHS - PASSAGES,1643 W BRYN MAWR Ave,Chicago,IL,60660,400060,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,483,Level 2+,Not Applicable,0.23,0.47,0.18,0.08,0.04,0.89,0.11,0.41,0.05,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610513,AIR FORCE HS,3630 S WELLS St,Chicago,IL,60609,,"9, 10, 11, 12",Military academy,322,Level 1,Good Standing,0.02,0.44,0.44,0.08,0.01,0.88,0.12,0.02,0.08,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610212,ALBANY PARK,4929 N SAWYER Ave,Chicago,IL,60625,610212,"7, 8",Neighborhood,281,Level 1+,Good Standing,0.1,0.05,0.78,0.07,0.01,0.95,0.15,0.2,0.1,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609774,ALCOTT ES,2625 N ORCHARD St,Chicago,IL,60614-157,609774,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,636,Level 1+,Good Standing,0.08,0.08,0.12,0.63,0.1,0.16,0.1,0.05,0.07,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610524,ALCOTT HS,2957 N HOYNE Ave,Chicago,IL,60618-820,,"9, 10, 11, 12",Small,318,Level 1+,Good Standing,0.02,0.18,0.7,0.08,0.03,0.79,0.13,0.06,0.08,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609848,ALDRIDGE,630 E 131ST St,Chicago,IL,60827,609848,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,170,Level 2,Intensive Support,0,0.99,0.01,0,0,0.89,0.13,0,0.43,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609695,AMUNDSEN HS,5110 N DAMEN Ave,Chicago,IL,60625,609695,"9, 10, 11, 12",Neighborhood,1156,Level 1,Good Standing,0.15,0.12,0.59,0.11,0.02,0.85,0.12,0.1,0.19,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609951,ARIEL,1119 E 46TH St,Chicago,IL,60653,,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Small,508,Level 2+,Good Standing,0,0.97,0.01,0,0.01,0.80,0.12,0,0.06,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609777,ARMOUR,950 W 33RD Pl,Chicago,IL,60608,609777,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,278,Level 1,Good Standing,0.05,0.04,0.81,0.09,0.01,0.93,0.15,0.33,0.22,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609779,ARMSTRONG G,2110 W GREENLEAF Ave,Chicago,IL,60645,,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,1441,Level 1+,Good Standing,0.2,0.27,0.44,0.07,0.02,0.90,0.1,0.33,0.18,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610287,ASHBURN,8300 S ST LOUIS Ave,Chicago,IL,60652,,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Small,518,Level 1+,Good Standing,0,0.84,0.14,0,0.02,0.84,0.18,0.07,0.17,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610268,ASHE,8505 S INGLESIDE Ave,Chicago,IL,60619,610268,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,290,Level 2,Intensive Support,0,0.99,0.01,0,0,0.97,0.13,0.01,0.51,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=400172,ASPIRA - BUSINESS & FINANCE HS,2989 N MILWAUKEE Ave,Chicago,IL,60618-734,400172,"10, 11, 12",Charter,331,Level 1+,Not Applicable,0,0.02,0.95,0.02,0.01,0.97,0.23,0.3,,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=400013,ASPIRA - EARLY COLLEGE HS,3986 W BARRY Ave,Chicago,IL,60618,400013,"9, 10, 11, 12",Charter,419,Level 2+,Not Applicable,0.01,0.03,0.95,0.01,0,0.95,0.22,0.29,,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=400017,ASPIRA - HAUGAN,3729 W LELAND Ave,Chicago,IL,60625,400017,"6, 7, 8",Charter,532,Level 2+,Not Applicable,0.03,0.03,0.9,0.02,0.01,0.98,0.13,0.22,,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609782,AUDUBON,3500 N HOYNE Ave,Chicago,IL,60618,609782,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,586,Level 1+,Good Standing,0.04,0.03,0.26,0.59,0.07,0.21,0.1,0.05,0.12,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609786,AVALON PARK,8045 S KENWOOD Ave,Chicago,IL,60619,609786,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,298,Level 1+,Provisional Support,0,0.98,0,0.01,0.01,0.95,0.11,0,0.53,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610544,AZUELA,4707 W MARQUETTE Rd,Chicago,IL,60629,610544,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,943,Level 1,Good Standing,0,0.01,0.96,0.02,0.01,0.87,0.1,0.27,0.12,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610563,BACK OF THE YARDS HS,2111 W 47TH St,Chicago,IL,60609,610563,"9, 10, 11, 12",Neighborhood,1041,Level 1+,Good Standing,0.06,0.03,0.89,0.01,0,0.96,0.08,0.09,0.06,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610555,BANNER WEST HS,819 N LEAMINGTON Ave,Chicago,IL,60651,610555,"9, 10, 11, 12",Citywide-Option,246,Inability to Rate,Not Applicable,0,0.92,0.07,0,0.01,0.96,0.2,0.01,,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609788,BARNARD,10354 S CHARLES St,Chicago,IL,60643,609788,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,311,Level 1,Good Standing,0,0.97,0.01,0.01,0.01,0.82,0.14,0,0.15,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609789,BARRY,2828 N KILBOURN Ave,Chicago,IL,60641,609789,"K, 1, 2, 3, 4, 5, 6",Neighborhood,735,Level 1,Good Standing,0.01,0.02,0.94,0.03,0.01,0.93,0.1,0.43,0.16,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609790,BARTON,7650 S WOLCOTT Ave,Chicago,IL,60620,609790,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,451,Level 2+,Intensive Support,0,0.97,0.02,0.01,0.01,0.95,0.19,0,0.3,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609791,BASS,1140 W 66TH St,Chicago,IL,60621,609791,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,446,Level 2,Provisional Support,0,0.98,0.02,0,0,0.98,0.13,0,0.37,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609792,BATEMAN,4220 N RICHMOND St,Chicago,IL,60618,609792,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,1047,Level 1+,Good Standing,0.04,0.03,0.75,0.1,0.08,0.84,0.12,0.34,0.09,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610083,BEARD,6445 W STRONG St,Chicago,IL,60656,,"PK, K, 1, 2, 3",Special Education,198,Inability to Rate,Good Standing,0.07,0.06,0.39,0.43,0.06,0.55,0.64,0.38,,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610246,BEASLEY,5255 S STATE St,Chicago,IL,60609,,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Regional gifted center,1331,Level 2+,Good Standing,0,0.97,0.02,0.01,0.01,0.82,0.06,0,0.05,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609796,BEAUBIEN,5025 N LARAMIE Ave,Chicago,IL,60630,609796,"K, 1, 2, 3, 4, 5, 6, 7, 8",Regional gifted center,1096,Level 1+,Good Standing,0.16,0.02,0.37,0.39,0.07,0.50,0.1,0.18,0.07,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=610237,BEETHOVEN,25 W 47TH St,Chicago,IL,60609,610237,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,417,Level 2,Intensive Support,0,0.97,0.02,0.01,0.01,1.00,0.16,0.01,0.47,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609797,BEIDLER,3151 W WALNUT St,Chicago,IL,60612,609797,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,469,Level 2,Provisional Support,0,0.97,0.03,0,0,0.90,0.14,0,0.28,
http://schoolinfo.cps.edu/schoolprofile/SchoolDetails.aspx?SchoolId=609798,BELDING,4257 N TRIPP Ave,Chicago,IL,60641,609798,"K, 1, 2, 3, 4, 5, 6, 7, 8",Neighborhood,570,Level 2+,Good Standing,0.04,0.06,0.44,0.41,0.07,0.68,0.1,0.24,0.18,
